Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-02-01,Thu,1:34 AM,6.66,203,H
2018-02-01,Thu,7:14 AM,1.71,52,L
2018-02-01,Thu,1:01 PM,7.95,242,H
2018-02-01,Thu,7:55 PM,-1.22,-37,L
2018-02-02,Fri,2:17 AM,6.83,208,H
2018-02-02,Fri,8:05 AM,1.5,46,L
2018-02-02,Fri,1:51 PM,7.6,232,H
2018-02-02,Fri,8:38 PM,-0.86,-26,L
2018-02-03,Sat,2:59 AM,6.9,210,H
2018-02-03,Sat,8:56 AM,1.38,42,L
2018-02-03,Sat,2:41 PM,7.08,216,H
2018-02-03,Sat,9:21 PM,-0.34,-10,L
2018-02-04,Sun,3:42 AM,6.88,210,H
2018-02-04,Sun,9:49 AM,1.35,41,L
2018-02-04,Sun,3:33 PM,6.43,196,H
2018-02-04,Sun,10:03 PM,0.32,10,L
2018-02-05,Mon,4:24 AM,6.79,207,H
2018-02-05,Mon,10:46 AM,1.37,42,L
2018-02-05,Mon,4:29 PM,5.76,176,H
2018-02-05,Mon,10:46 PM,1.02,31,L
2018-02-06,Tue,5:09 AM,6.64,202,H
2018-02-06,Tue,11:46 AM,1.41,43,L
2018-02-06,Tue,5:32 PM,5.14,157,H
2018-02-06,Tue,11:33 PM,1.71,52,L
2018-02-07,Wed,5:56 AM,6.48,198,H
2018-02-07,Wed,12:52 PM,1.4,43,L
2018-02-07,Wed,6:46 PM,4.71,144,H
2018-02-08,Thu,12:26 AM,2.31,70,L
2018-02-08,Thu,6:47 AM,6.34,193,H
2018-02-08,Thu,2:01 PM,1.29,39,L
2018-02-08,Thu,8:09 PM,4.54,138,H
2018-02-09,Fri,1:29 AM,2.75,84,L
2018-02-09,Fri,7:43 AM,6.26,191,H
2018-02-09,Fri,3:06 PM,1.08,33,L
2018-02-09,Fri,9:30 PM,4.64,141,H
2018-02-10,Sat,2:38 AM,2.98,91,L
2018-02-10,Sat,8:39 AM,6.28,191,H
2018-02-10,Sat,4:02 PM,0.81,25,L
2018-02-10,Sat,10:33 PM,4.89,149,H
2018-02-11,Sun,3:41 AM,3,91,L
2018-02-11,Sun,9:31 AM,6.38,194,H
2018-02-11,Sun,4:50 PM,0.52,16,L
2018-02-11,Sun,11:20 PM,5.16,157,H
2018-02-12,Mon,4:35 AM,2.87,87,L
2018-02-12,Mon,10:19 AM,6.53,199,H
2018-02-12,Mon,5:31 PM,0.26,8,L
2018-02-12,Mon,11:57 PM,5.42,165,H
2018-02-13,Tue,5:20 AM,2.67,81,L
2018-02-13,Tue,11:03 AM,6.69,204,H
2018-02-13,Tue,6:07 PM,0.04,1,L
2018-02-14,Wed,12:30 AM,5.65,172,H
2018-02-14,Wed,6:00 AM,2.43,74,L
2018-02-14,Wed,11:43 AM,6.81,208,H
2018-02-14,Wed,6:41 PM,-0.11,-3,L
2018-02-15,Thu,1:01 AM,5.85,178,H
2018-02-15,Thu,6:38 AM,2.19,67,L
2018-02-15,Thu,12:21 PM,6.87,209,H
2018-02-15,Thu,7:14 PM,-0.17,-5,L
2018-02-16,Fri,1:32 AM,6.02,183,H
2018-02-16,Fri,7:15 AM,1.97,60,L
2018-02-16,Fri,12:58 PM,6.84,208,H
2018-02-16,Fri,7:45 PM,-0.13,-4,L
2018-02-17,Sat,2:02 AM,6.17,188,H
2018-02-17,Sat,7:52 AM,1.76,54,L
2018-02-17,Sat,1:35 PM,6.7,204,H
2018-02-17,Sat,8:16 PM,0.03,1,L
