Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-02-01,Thu,7:32 AM,2.21,67,L
2018-02-01,Thu,1:22 PM,10.26,313,H
2018-02-01,Thu,8:15 PM,-1.18,-36,L
2018-02-02,Fri,2:36 AM,9.2,280,H
2018-02-02,Fri,8:23 AM,1.91,58,L
2018-02-02,Fri,2:12 PM,9.88,301,H
2018-02-02,Fri,8:56 PM,-0.82,-25,L
2018-02-03,Sat,3:18 AM,9.27,283,H
2018-02-03,Sat,9:12 AM,1.72,52,L
2018-02-03,Sat,3:02 PM,9.3,283,H
2018-02-03,Sat,9:35 PM,-0.26,-8,L
2018-02-04,Sun,3:59 AM,9.24,282,H
2018-02-04,Sun,10:02 AM,1.67,51,L
2018-02-04,Sun,3:54 PM,8.59,262,H
2018-02-04,Sun,10:14 PM,0.47,14,L
2018-02-05,Mon,4:39 AM,9.1,277,H
2018-02-05,Mon,10:54 AM,1.73,53,L
2018-02-05,Mon,4:49 PM,7.81,238,H
2018-02-05,Mon,10:55 PM,1.3,40,L
2018-02-06,Tue,5:21 AM,8.9,271,H
2018-02-06,Tue,11:51 AM,1.84,56,L
2018-02-06,Tue,5:50 PM,7.1,216,H
2018-02-06,Tue,11:39 PM,2.15,66,L
2018-02-07,Wed,6:06 AM,8.66,264,H
2018-02-07,Wed,12:55 PM,1.89,58,L
2018-02-07,Wed,7:01 PM,6.59,201,H
2018-02-08,Thu,12:32 AM,2.92,89,L
2018-02-08,Thu,6:56 AM,8.46,258,H
2018-02-08,Thu,2:04 PM,1.78,54,L
2018-02-08,Thu,8:17 PM,6.43,196,H
2018-02-09,Fri,1:35 AM,3.49,106,L
2018-02-09,Fri,7:51 AM,8.35,255,H
2018-02-09,Fri,3:10 PM,1.49,45,L
2018-02-09,Fri,9:30 PM,6.61,201,H
2018-02-10,Sat,2:41 AM,3.78,115,L
2018-02-10,Sat,8:48 AM,8.36,255,H
2018-02-10,Sat,4:08 PM,1.1,34,L
2018-02-10,Sat,10:32 PM,6.99,213,H
2018-02-11,Sun,3:43 AM,3.79,116,L
2018-02-11,Sun,9:43 AM,8.49,259,H
2018-02-11,Sun,4:57 PM,0.72,22,L
2018-02-11,Sun,11:22 PM,7.4,226,H
2018-02-12,Mon,4:38 AM,3.62,110,L
2018-02-12,Mon,10:33 AM,8.67,264,H
2018-02-12,Mon,5:40 PM,0.39,12,L
2018-02-13,Tue,12:05 AM,7.74,236,H
2018-02-13,Tue,5:27 AM,3.37,103,L
2018-02-13,Tue,11:17 AM,8.84,269,H
2018-02-13,Tue,6:18 PM,0.15,5,L
2018-02-14,Wed,12:43 AM,8,244,H
2018-02-14,Wed,6:12 AM,3.07,94,L
2018-02-14,Wed,11:58 AM,8.96,273,H
2018-02-14,Wed,6:54 PM,-0.01,0,L
2018-02-15,Thu,1:18 AM,8.18,249,H
2018-02-15,Thu,6:53 AM,2.77,84,L
2018-02-15,Thu,12:37 PM,9.01,275,H
2018-02-15,Thu,7:26 PM,-0.08,-2,L
2018-02-16,Fri,1:50 AM,8.31,253,H
2018-02-16,Fri,7:32 AM,2.46,75,L
2018-02-16,Fri,1:15 PM,8.99,274,H
2018-02-16,Fri,7:57 PM,-0.06,-2,L
2018-02-17,Sat,2:19 AM,8.43,257,H
2018-02-17,Sat,8:10 AM,2.16,66,L
2018-02-17,Sat,1:54 PM,8.87,270,H
2018-02-17,Sat,8:27 PM,0.08,2,L
2018-02-18,Sun,2:47 AM,8.56,261,H
2018-02-18,Sun,8:47 AM,1.89,58,L
2018-02-18,Sun,2:33 PM,8.64,263,H
2018-02-18,Sun,8:57 PM,0.34,10,L
2018-02-19,Mon,3:15 AM,8.71,265,H
2018-02-19,Mon,9:24 AM,1.65,50,L
2018-02-19,Mon,3:16 PM,8.28,252,H
2018-02-19,Mon,9:28 PM,0.75,23,L
2018-02-20,Tue,3:45 AM,8.87,270,H
2018-02-20,Tue,10:06 AM,1.49,45,L
2018-02-20,Tue,4:04 PM,7.79,237,H
2018-02-20,Tue,10:03 PM,1.31,40,L
2018-02-21,Wed,4:20 AM,8.98,274,H
2018-02-21,Wed,10:55 AM,1.42,43,L
2018-02-21,Wed,5:02 PM,7.22,220,H
2018-02-21,Wed,10:44 PM,1.99,61,L
2018-02-22,Thu,5:03 AM,9,274,H
2018-02-22,Thu,11:57 AM,1.39,42,L
2018-02-22,Thu,6:14 PM,6.72,205,H
2018-02-22,Thu,11:37 PM,2.71,83,L
2018-02-23,Fri,5:56 AM,8.95,273,H
2018-02-23,Fri,1:14 PM,1.26,38,L
2018-02-23,Fri,7:38 PM,6.5,198,H
2018-02-24,Sat,12:48 AM,3.3,101,L
2018-02-24,Sat,7:01 AM,8.91,272,H
2018-02-24,Sat,2:33 PM,0.9,27,L
2018-02-24,Sat,9:01 PM,6.7,204,H
2018-02-25,Sun,2:11 AM,3.55,108,L
2018-02-25,Sun,8:15 AM,8.98,274,H
2018-02-25,Sun,3:44 PM,0.35,11,L
2018-02-25,Sun,10:11 PM,7.19,219,H
2018-02-26,Mon,3:28 AM,3.37,103,L
2018-02-26,Mon,9:27 AM,9.21,281,H
2018-02-26,Mon,4:44 PM,-0.21,-6,L
2018-02-26,Mon,11:09 PM,7.78,237,H
2018-02-27,Tue,4:35 AM,2.91,89,L
2018-02-27,Tue,10:32 AM,9.51,290,H
2018-02-27,Tue,5:37 PM,-0.65,-20,L
2018-02-27,Tue,11:58 PM,8.33,254,H
2018-02-28,Wed,5:34 AM,2.33,71,L
2018-02-28,Wed,11:30 AM,9.72,296,H
2018-02-28,Wed,6:25 PM,-0.89,-27,L
2018-03-01,Thu,12:42 AM,8.77,267,H
2018-03-01,Thu,6:29 AM,1.75,53,L
2018-03-01,Thu,12:23 PM,9.77,298,H
2018-03-01,Thu,7:08 PM,-0.9,-27,L
2018-03-02,Fri,1:24 AM,9.08,277,H
2018-03-02,Fri,7:19 AM,1.26,38,L
2018-03-02,Fri,1:14 PM,9.62,293,H
2018-03-02,Fri,7:49 PM,-0.68,-21,L
2018-03-03,Sat,2:03 AM,9.25,282,H
2018-03-03,Sat,8:07 AM,0.91,28,L
2018-03-03,Sat,2:02 PM,9.29,283,H
2018-03-03,Sat,8:28 PM,-0.26,-8,L
2018-03-04,Sun,2:41 AM,9.29,283,H
2018-03-04,Sun,8:52 AM,0.73,22,L
2018-03-04,Sun,2:50 PM,8.8,268,H
2018-03-04,Sun,9:04 PM,0.32,10,L
2018-03-05,Mon,3:17 AM,9.2,280,H
2018-03-05,Mon,9:37 AM,0.74,23,L
2018-03-05,Mon,3:38 PM,8.21,250,H
2018-03-05,Mon,9:40 PM,1.02,31,L
2018-03-06,Tue,3:53 AM,9,274,H
2018-03-06,Tue,10:22 AM,0.91,28,L
2018-03-06,Tue,4:29 PM,7.57,231,H
2018-03-06,Tue,10:17 PM,1.78,54,L
2018-03-07,Wed,4:29 AM,8.71,265,H
2018-03-07,Wed,11:10 AM,1.18,36,L
2018-03-07,Wed,5:25 PM,6.98,213,H
2018-03-07,Wed,10:57 PM,2.55,78,L
2018-03-08,Thu,5:08 AM,8.37,255,H
2018-03-08,Thu,12:06 PM,1.47,45,L
2018-03-08,Thu,6:30 PM,6.52,199,H
2018-03-08,Thu,11:47 PM,3.24,99,L
2018-03-09,Fri,5:55 AM,8.01,244,H
2018-03-09,Fri,1:11 PM,1.64,50,L
2018-03-09,Fri,7:43 PM,6.34,193,H
2018-03-10,Sat,12:52 AM,3.74,114,L
2018-03-10,Sat,6:53 AM,7.73,236,H
2018-03-10,Sat,2:21 PM,1.6,49,L
2018-03-10,Sat,8:56 PM,6.47,197,H
2018-03-11,Sun,3:06 AM,3.92,119,L
2018-03-11,Sun,9:00 AM,7.62,232,H
2018-03-11,Sun,4:25 PM,1.35,41,L
2018-03-11,Sun,10:58 PM,6.82,208,H
2018-03-12,Mon,4:15 AM,3.74,114,L
2018-03-12,Mon,10:07 AM,7.71,235,H
2018-03-12,Mon,5:18 PM,1,30,L
2018-03-12,Mon,11:48 PM,7.24,221,H
2018-03-13,Tue,5:13 AM,3.35,102,L
2018-03-13,Tue,11:05 AM,7.95,242,H
2018-03-13,Tue,6:03 PM,0.66,20,L
2018-03-14,Wed,12:30 AM,7.62,232,H
2018-03-14,Wed,6:04 AM,2.86,87,L
2018-03-14,Wed,11:55 AM,8.21,250,H
2018-03-14,Wed,6:43 PM,0.39,12,L
2018-03-15,Thu,1:06 AM,7.94,242,H
2018-03-15,Thu,6:49 AM,2.35,72,L
2018-03-15,Thu,12:40 PM,8.43,257,H
2018-03-15,Thu,7:19 PM,0.23,7,L
2018-03-16,Fri,1:39 AM,8.19,250,H
2018-03-16,Fri,7:31 AM,1.87,57,L
2018-03-16,Fri,1:22 PM,8.57,261,H
2018-03-16,Fri,7:53 PM,0.19,6,L
2018-03-17,Sat,2:09 AM,8.42,257,H
2018-03-17,Sat,8:11 AM,1.41,43,L
2018-03-17,Sat,2:03 PM,8.61,262,H
2018-03-17,Sat,8:26 PM,0.27,8,L
2018-03-18,Sun,2:38 AM,8.64,263,H
2018-03-18,Sun,8:49 AM,1,30,L
2018-03-18,Sun,2:44 PM,8.55,261,H
2018-03-18,Sun,8:58 PM,0.48,15,L
2018-03-19,Mon,3:06 AM,8.86,270,H
2018-03-19,Mon,9:27 AM,0.65,20,L
2018-03-19,Mon,3:27 PM,8.37,255,H
2018-03-19,Mon,9:31 PM,0.82,25,L
2018-03-20,Tue,3:35 AM,9.07,276,H
2018-03-20,Tue,10:06 AM,0.41,12,L
2018-03-20,Tue,4:13 PM,8.06,246,H
2018-03-20,Tue,10:05 PM,1.27,39,L
2018-03-21,Wed,4:08 AM,9.21,281,H
2018-03-21,Wed,10:49 AM,0.33,10,L
2018-03-21,Wed,5:03 PM,7.65,233,H
2018-03-21,Wed,10:43 PM,1.82,55,L
2018-03-22,Thu,4:46 AM,9.22,281,H
2018-03-22,Thu,11:38 AM,0.4,12,L
2018-03-22,Thu,6:02 PM,7.18,219,H
2018-03-22,Thu,11:27 PM,2.45,75,L
2018-03-23,Fri,5:32 AM,9.06,276,H
2018-03-23,Fri,12:38 PM,0.57,17,L
2018-03-23,Fri,7:12 PM,6.8,207,H
2018-03-24,Sat,12:25 AM,3.04,93,L
2018-03-24,Sat,6:29 AM,8.77,267,H
2018-03-24,Sat,1:52 PM,0.69,21,L
2018-03-24,Sat,8:29 PM,6.7,204,H
2018-03-25,Sun,1:42 AM,3.44,105,L
2018-03-25,Sun,7:40 AM,8.47,258,H
2018-03-25,Sun,3:11 PM,0.59,18,L
2018-03-25,Sun,9:45 PM,6.94,212,H
2018-03-26,Mon,3:07 AM,3.4,104,L
2018-03-26,Mon,9:01 AM,8.36,255,H
2018-03-26,Mon,4:21 PM,0.29,9,L
2018-03-26,Mon,10:50 PM,7.43,226,H
2018-03-27,Tue,4:23 AM,2.92,89,L
2018-03-27,Tue,10:18 AM,8.49,259,H
2018-03-27,Tue,5:20 PM,-0.04,-1,L
2018-03-27,Tue,11:44 PM,8,244,H
2018-03-28,Wed,5:28 AM,2.22,68,L
2018-03-28,Wed,11:24 AM,8.73,266,H
2018-03-28,Wed,6:12 PM,-0.27,-8,L
2018-03-29,Thu,12:30 AM,8.52,260,H
2018-03-29,Thu,6:25 AM,1.48,45,L
2018-03-29,Thu,12:22 PM,8.91,272,H
2018-03-29,Thu,6:58 PM,-0.32,-10,L
2018-03-30,Fri,1:12 AM,8.92,272,H
2018-03-30,Fri,7:16 AM,0.83,25,L
2018-03-30,Fri,1:15 PM,8.96,273,H
2018-03-30,Fri,7:40 PM,-0.16,-5,L
2018-03-31,Sat,1:51 AM,9.17,280,H
2018-03-31,Sat,8:04 AM,0.34,10,L
2018-03-31,Sat,2:04 PM,8.85,270,H
2018-03-31,Sat,8:19 PM,0.16,5,L
2018-04-01,Sun,2:27 AM,9.27,283,H
2018-04-01,Sun,8:48 AM,0.04,1,L
2018-04-01,Sun,2:51 PM,8.61,262,H
2018-04-01,Sun,8:57 PM,0.63,19,L
2018-04-02,Mon,3:01 AM,9.24,282,H
2018-04-02,Mon,9:30 AM,-0.06,-2,L
2018-04-02,Mon,3:37 PM,8.26,252,H
2018-04-02,Mon,9:33 PM,1.18,36,L
2018-04-03,Tue,3:34 AM,9.1,277,H
2018-04-03,Tue,10:11 AM,0.02,1,L
2018-04-03,Tue,4:24 PM,7.85,239,H
2018-04-03,Tue,10:08 PM,1.78,54,L
2018-04-04,Wed,4:06 AM,8.86,270,H
2018-04-04,Wed,10:51 AM,0.25,8,L
2018-04-04,Wed,5:12 PM,7.41,226,H
2018-04-04,Wed,10:44 PM,2.38,73,L
2018-04-05,Thu,4:39 AM,8.55,261,H
2018-04-05,Thu,11:32 AM,0.6,18,L
2018-04-05,Thu,6:03 PM,6.99,213,H
2018-04-05,Thu,11:23 PM,2.96,90,L
2018-04-06,Fri,5:15 AM,8.18,249,H
2018-04-06,Fri,12:19 PM,0.99,30,L
2018-04-06,Fri,7:01 PM,6.64,202,H
2018-04-07,Sat,12:12 AM,3.47,106,L
2018-04-07,Sat,5:59 AM,7.75,236,H
2018-04-07,Sat,1:16 PM,1.33,41,L
2018-04-07,Sat,8:06 PM,6.47,197,H
2018-04-08,Sun,1:15 AM,3.81,116,L
2018-04-08,Sun,6:57 AM,7.34,224,H
2018-04-08,Sun,2:23 PM,1.5,46,L
2018-04-08,Sun,9:13 PM,6.54,199,H
2018-04-09,Mon,2:31 AM,3.85,117,L
2018-04-09,Mon,8:10 AM,7.08,216,H
2018-04-09,Mon,3:29 PM,1.44,44,L
2018-04-09,Mon,10:13 PM,6.83,208,H
2018-04-10,Tue,3:43 AM,3.54,108,L
2018-04-10,Tue,9:25 AM,7.07,215,H
2018-04-10,Tue,4:26 PM,1.23,37,L
2018-04-10,Tue,11:03 PM,7.21,220,H
2018-04-11,Wed,4:44 AM,2.98,91,L
2018-04-11,Wed,10:31 AM,7.28,222,H
2018-04-11,Wed,5:14 PM,0.98,30,L
2018-04-11,Wed,11:44 PM,7.62,232,H
2018-04-12,Thu,5:36 AM,2.32,71,L
2018-04-12,Thu,11:27 AM,7.57,231,H
2018-04-12,Thu,5:57 PM,0.79,24,L
2018-04-13,Fri,12:20 AM,8.01,244,H
2018-04-13,Fri,6:23 AM,1.64,50,L
2018-04-13,Fri,12:17 PM,7.85,239,H
2018-04-13,Fri,6:36 PM,0.71,22,L
2018-04-14,Sat,12:53 AM,8.36,255,H
2018-04-14,Sat,7:06 AM,1,30,L
2018-04-14,Sat,1:04 PM,8.07,246,H
2018-04-14,Sat,7:14 PM,0.77,23,L
2018-04-15,Sun,1:24 AM,8.69,265,H
2018-04-15,Sun,7:48 AM,0.42,13,L
2018-04-15,Sun,1:49 PM,8.19,250,H
2018-04-15,Sun,7:51 PM,0.94,29,L
2018-04-16,Mon,1:55 AM,9,274,H
2018-04-16,Mon,8:29 AM,-0.06,-2,L
