Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/01/21	Sun	03:56 AM	8.36		255			H
2018/01/21	Sun	09:44 AM	2.82		86			L
2018/01/21	Sun	03:22 PM	8.41		256			H
2018/01/21	Sun	09:54 PM	0.58		18			L
2018/01/22	Mon	04:28 AM	8.46		258			H
2018/01/22	Mon	10:28 AM	2.67		81			L
2018/01/22	Mon	04:11 PM	7.90		241			H
2018/01/22	Mon	10:29 PM	1.07		33			L
2018/01/23	Tue	05:04 AM	8.58		262			H
2018/01/23	Tue	11:22 AM	2.50		76			L
2018/01/23	Tue	05:10 PM	7.31		223			H
2018/01/23	Tue	11:12 PM	1.69		52			L
2018/01/24	Wed	05:47 AM	8.73		266			H
2018/01/24	Wed	12:28 PM	2.27		69			L
2018/01/24	Wed	06:25 PM	6.79		207			H
2018/01/25	Thu	12:06 AM	2.38		73			L
2018/01/25	Thu	06:38 AM	8.90		271			H
2018/01/25	Thu	01:44 PM	1.84		56			L
2018/01/25	Thu	07:51 PM	6.57		200			H
2018/01/26	Fri	01:13 AM	2.98		91			L
2018/01/26	Fri	07:37 AM	9.13		278			H
2018/01/26	Fri	02:57 PM	1.20		37			L
2018/01/26	Fri	09:15 PM	6.75		206			H
2018/01/27	Sat	02:27 AM	3.35		102			L
2018/01/27	Sat	08:40 AM	9.44		288			H
2018/01/27	Sat	04:03 PM	0.44		13			L
2018/01/27	Sat	10:26 PM	7.22		220			H
2018/01/28	Sun	03:38 AM	3.43		105			L
2018/01/28	Sun	09:42 AM	9.80		299			H
2018/01/28	Sun	05:02 PM	-0.27		-8			L
2018/01/28	Sun	11:26 PM	7.77		237			H
2018/01/29	Mon	04:43 AM	3.27		100			L
2018/01/29	Mon	10:41 AM	10.15		309			H
2018/01/29	Mon	05:55 PM	-0.83		-25			L
2018/01/30	Tue	12:19 AM	8.29		253			H
2018/01/30	Tue	05:43 AM	2.96		90			L
2018/01/30	Tue	11:37 AM	10.38		316			H
2018/01/30	Tue	06:45 PM	-1.19		-36			L
2018/01/31	Wed	01:07 AM	8.70		265			H
2018/01/31	Wed	06:39 AM	2.58		79			L
2018/01/31	Wed	12:30 PM	10.43		318			H
2018/01/31	Wed	07:31 PM	-1.31		-40			L
2018/02/01	Thu	01:53 AM	9.01		275			H
2018/02/01	Thu	07:32 AM	2.21		67			L
2018/02/01	Thu	01:22 PM	10.26		313			H
2018/02/01	Thu	08:15 PM	-1.18		-36			L
2018/02/02	Fri	02:36 AM	9.20		280			H
2018/02/02	Fri	08:23 AM	1.91		58			L
2018/02/02	Fri	02:12 PM	9.88		301			H
2018/02/02	Fri	08:56 PM	-0.82		-25			L
2018/02/03	Sat	03:18 AM	9.27		283			H
2018/02/03	Sat	09:12 AM	1.72		52			L
2018/02/03	Sat	03:02 PM	9.30		283			H
2018/02/03	Sat	09:35 PM	-0.26		-8			L
2018/02/04	Sun	03:59 AM	9.24		282			H
2018/02/04	Sun	10:02 AM	1.67		51			L
2018/02/04	Sun	03:54 PM	8.59		262			H
2018/02/04	Sun	10:14 PM	0.47		14			L
2018/02/05	Mon	04:39 AM	9.10		277			H
2018/02/05	Mon	10:54 AM	1.73		53			L
2018/02/05	Mon	04:49 PM	7.81		238			H
2018/02/05	Mon	10:55 PM	1.30		40			L
2018/02/06	Tue	05:21 AM	8.90		271			H
2018/02/06	Tue	11:51 AM	1.84		56			L
2018/02/06	Tue	05:50 PM	7.10		216			H
2018/02/06	Tue	11:39 PM	2.15		66			L
2018/02/07	Wed	06:06 AM	8.66		264			H
2018/02/07	Wed	12:55 PM	1.89		58			L
2018/02/07	Wed	07:01 PM	6.59		201			H
2018/02/08	Thu	12:32 AM	2.92		89			L
2018/02/08	Thu	06:56 AM	8.46		258			H
2018/02/08	Thu	02:04 PM	1.78		54			L
2018/02/08	Thu	08:17 PM	6.43		196			H
2018/02/09	Fri	01:35 AM	3.49		106			L
2018/02/09	Fri	07:51 AM	8.35		255			H
2018/02/09	Fri	03:10 PM	1.49		45			L
2018/02/09	Fri	09:30 PM	6.61		201			H
2018/02/10	Sat	02:41 AM	3.78		115			L
2018/02/10	Sat	08:48 AM	8.36		255			H
2018/02/10	Sat	04:08 PM	1.10		34			L
2018/02/10	Sat	10:32 PM	6.99		213			H
2018/02/11	Sun	03:43 AM	3.79		116			L
2018/02/11	Sun	09:43 AM	8.49		259			H
2018/02/11	Sun	04:57 PM	0.72		22			L
2018/02/11	Sun	11:22 PM	7.40		226			H
2018/02/12	Mon	04:38 AM	3.62		110			L
2018/02/12	Mon	10:33 AM	8.67		264			H
2018/02/12	Mon	05:40 PM	0.39		12			L
2018/02/13	Tue	12:05 AM	7.74		236			H
2018/02/13	Tue	05:27 AM	3.37		103			L
2018/02/13	Tue	11:17 AM	8.84		269			H
2018/02/13	Tue	06:18 PM	0.15		5			L
2018/02/14	Wed	12:43 AM	8.00		244			H
2018/02/14	Wed	06:12 AM	3.07		94			L
2018/02/14	Wed	11:58 AM	8.96		273			H
2018/02/14	Wed	06:54 PM	-0.01		-0			L
2018/02/15	Thu	01:18 AM	8.18		249			H
2018/02/15	Thu	06:53 AM	2.77		84			L
2018/02/15	Thu	12:37 PM	9.01		275			H
2018/02/15	Thu	07:26 PM	-0.08		-2			L
2018/02/16	Fri	01:50 AM	8.31		253			H
2018/02/16	Fri	07:32 AM	2.46		75			L
2018/02/16	Fri	01:15 PM	8.99		274			H
2018/02/16	Fri	07:57 PM	-0.06		-2			L
2018/02/17	Sat	02:19 AM	8.43		257			H
2018/02/17	Sat	08:10 AM	2.16		66			L
2018/02/17	Sat	01:54 PM	8.87		270			H
2018/02/17	Sat	08:27 PM	0.08		2			L
