Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/01/10	Wed	08:40 PM	4.70		143			H
2018/01/11	Thu	02:13 AM	2.34		71			L
2018/01/11	Thu	08:31 AM	6.70		204			H
2018/01/11	Thu	03:45 PM	0.92		28			L
2018/01/11	Thu	09:55 PM	4.81		147			H
2018/01/12	Fri	03:12 AM	2.64		80			L
2018/01/12	Fri	09:18 AM	6.77		206			H
2018/01/12	Fri	04:35 PM	0.57		17			L
2018/01/12	Fri	10:56 PM	5.04		154			H
2018/01/13	Sat	04:06 AM	2.80		85			L
2018/01/13	Sat	10:02 AM	6.86		209			H
2018/01/13	Sat	05:17 PM	0.26		8			L
2018/01/13	Sat	11:43 PM	5.28		161			H
2018/01/14	Sun	04:55 AM	2.84		87			L
2018/01/14	Sun	10:43 AM	6.95		212			H
2018/01/14	Sun	05:56 PM	0.02		1			L
2018/01/15	Mon	12:23 AM	5.50		168			H
2018/01/15	Mon	05:38 AM	2.81		86			L
2018/01/15	Mon	11:22 AM	7.02		214			H
2018/01/15	Mon	06:31 PM	-0.15		-5			L
2018/01/16	Tue	12:59 AM	5.67		173			H
2018/01/16	Tue	06:18 AM	2.74		84			L
2018/01/16	Tue	11:59 AM	7.05		215			H
2018/01/16	Tue	07:06 PM	-0.27		-8			L
2018/01/17	Wed	01:33 AM	5.79		176			H
2018/01/17	Wed	06:56 AM	2.66		81			L
2018/01/17	Wed	12:35 PM	7.02		214			H
2018/01/17	Wed	07:39 PM	-0.31		-9			L
2018/01/18	Thu	02:06 AM	5.88		179			H
2018/01/18	Thu	07:33 AM	2.58		79			L
2018/01/18	Thu	01:10 PM	6.92		211			H
2018/01/18	Thu	08:12 PM	-0.26		-8			L
2018/01/19	Fri	02:39 AM	5.95		181			H
2018/01/19	Fri	08:11 AM	2.51		77			L
2018/01/19	Fri	01:46 PM	6.74		205			H
2018/01/19	Fri	08:44 PM	-0.13		-4			L
2018/01/20	Sat	03:12 AM	6.00		183			H
2018/01/20	Sat	08:50 AM	2.44		74			L
2018/01/20	Sat	02:24 PM	6.47		197			H
2018/01/20	Sat	09:17 PM	0.11		3			L
2018/01/21	Sun	03:46 AM	6.06		185			H
2018/01/21	Sun	09:34 AM	2.35		72			L
2018/01/21	Sun	03:06 PM	6.12		187			H
2018/01/21	Sun	09:52 PM	0.44		13			L
2018/01/22	Mon	04:22 AM	6.14		187			H
2018/01/22	Mon	10:24 AM	2.22		68			L
2018/01/22	Mon	03:54 PM	5.69		173			H
2018/01/22	Mon	10:29 PM	0.85		26			L
2018/01/23	Tue	05:01 AM	6.26		191			H
2018/01/23	Tue	11:21 AM	2.03		62			L
2018/01/23	Tue	04:53 PM	5.24		160			H
2018/01/23	Tue	11:11 PM	1.33		41			L
2018/01/24	Wed	05:45 AM	6.41		195			H
2018/01/24	Wed	12:27 PM	1.74		53			L
2018/01/24	Wed	06:07 PM	4.86		148			H
2018/01/25	Thu	12:01 AM	1.83		56			L
2018/01/25	Thu	06:34 AM	6.61		201			H
2018/01/25	Thu	01:38 PM	1.30		40			L
2018/01/25	Thu	07:33 PM	4.70		143			H
2018/01/26	Fri	01:03 AM	2.27		69			L
2018/01/26	Fri	07:30 AM	6.86		209			H
2018/01/26	Fri	02:47 PM	0.74		23			L
2018/01/26	Fri	08:58 PM	4.83		147			H
2018/01/27	Sat	02:14 AM	2.56		78			L
2018/01/27	Sat	08:28 AM	7.16		218			H
2018/01/27	Sat	03:49 PM	0.11		3			L
2018/01/27	Sat	10:12 PM	5.18		158			H
2018/01/28	Sun	03:25 AM	2.63		80			L
2018/01/28	Sun	09:27 AM	7.50		229			H
2018/01/28	Sun	04:45 PM	-0.49		-15			L
2018/01/28	Sun	11:12 PM	5.62		171			H
2018/01/29	Mon	04:29 AM	2.51		77			L
2018/01/29	Mon	10:24 AM	7.81		238			H
2018/01/29	Mon	05:37 PM	-0.97		-30			L
2018/01/30	Tue	12:04 AM	6.04		184			H
2018/01/30	Tue	05:28 AM	2.27		69			L
2018/01/30	Tue	11:18 AM	8.02		244			H
2018/01/30	Tue	06:25 PM	-1.28		-39			L
2018/01/31	Wed	12:50 AM	6.39		195			H
2018/01/31	Wed	06:22 AM	1.98		60			L
2018/01/31	Wed	12:11 PM	8.09		247			H
2018/01/31	Wed	07:11 PM	-1.36		-41			L
2018/02/01	Thu	01:34 AM	6.66		203			H
2018/02/01	Thu	07:14 AM	1.71		52			L
2018/02/01	Thu	01:01 PM	7.95		242			H
2018/02/01	Thu	07:55 PM	-1.22		-37			L
2018/02/02	Fri	02:17 AM	6.83		208			H
2018/02/02	Fri	08:05 AM	1.50		46			L
2018/02/02	Fri	01:51 PM	7.60		232			H
2018/02/02	Fri	08:38 PM	-0.86		-26			L
2018/02/03	Sat	02:59 AM	6.90		210			H
2018/02/03	Sat	08:56 AM	1.38		42			L
2018/02/03	Sat	02:41 PM	7.08		216			H
2018/02/03	Sat	09:21 PM	-0.34		-10			L
2018/02/04	Sun	03:42 AM	6.88		210			H
2018/02/04	Sun	09:49 AM	1.35		41			L
2018/02/04	Sun	03:33 PM	6.43		196			H
2018/02/04	Sun	10:03 PM	0.32		10			L
2018/02/05	Mon	04:24 AM	6.79		207			H
2018/02/05	Mon	10:46 AM	1.37		42			L
2018/02/05	Mon	04:29 PM	5.76		176			H
2018/02/05	Mon	10:46 PM	1.02		31			L
2018/02/06	Tue	05:09 AM	6.64		202			H
2018/02/06	Tue	11:46 AM	1.41		43			L
2018/02/06	Tue	05:32 PM	5.14		157			H
2018/02/06	Tue	11:33 PM	1.71		52			L
2018/02/07	Wed	05:56 AM	6.48		198			H
2018/02/07	Wed	12:52 PM	1.40		43			L
2018/02/07	Wed	06:46 PM	4.71		144			H
2018/02/08	Thu	12:26 AM	2.31		70			L
2018/02/08	Thu	06:47 AM	6.34		193			H
2018/02/08	Thu	02:01 PM	1.29		39			L
2018/02/08	Thu	08:09 PM	4.54		138			H
2018/02/09	Fri	01:29 AM	2.75		84			L
2018/02/09	Fri	07:43 AM	6.26		191			H
2018/02/09	Fri	03:06 PM	1.08		33			L
2018/02/09	Fri	09:30 PM	4.64		141			H
2018/02/10	Sat	02:38 AM	2.98		91			L
2018/02/10	Sat	08:39 AM	6.28		191			H
2018/02/10	Sat	04:02 PM	0.81		25			L
2018/02/10	Sat	10:33 PM	4.89		149			H
2018/02/11	Sun	03:41 AM	3.00		91			L
2018/02/11	Sun	09:31 AM	6.38		194			H
2018/02/11	Sun	04:50 PM	0.52		16			L
2018/02/11	Sun	11:20 PM	5.16		157			H
2018/02/12	Mon	04:35 AM	2.87		87			L
2018/02/12	Mon	10:19 AM	6.53		199			H
2018/02/12	Mon	05:31 PM	0.26		8			L
2018/02/12	Mon	11:57 PM	5.42		165			H
2018/02/13	Tue	05:20 AM	2.67		81			L
2018/02/13	Tue	11:03 AM	6.69		204			H
2018/02/13	Tue	06:07 PM	0.04		1			L
2018/02/14	Wed	12:30 AM	5.65		172			H
2018/02/14	Wed	06:00 AM	2.43		74			L
2018/02/14	Wed	11:43 AM	6.81		208			H
2018/02/14	Wed	06:41 PM	-0.11		-3			L
2018/02/15	Thu	01:01 AM	5.85		178			H
2018/02/15	Thu	06:38 AM	2.19		67			L
2018/02/15	Thu	12:21 PM	6.87		209			H
2018/02/15	Thu	07:14 PM	-0.17		-5			L
2018/02/16	Fri	01:32 AM	6.02		183			H
2018/02/16	Fri	07:15 AM	1.97		60			L
2018/02/16	Fri	12:58 PM	6.84		208			H
2018/02/16	Fri	07:45 PM	-0.13		-4			L
2018/02/17	Sat	02:02 AM	6.17		188			H
2018/02/17	Sat	07:52 AM	1.76		54			L
2018/02/17	Sat	01:35 PM	6.70		204			H
2018/02/17	Sat	08:16 PM	0.03		1			L
2018/02/18	Sun	02:32 AM	6.30		192			H
2018/02/18	Sun	08:31 AM	1.57		48			L
2018/02/18	Sun	02:14 PM	6.47		197			H
2018/02/18	Sun	08:48 PM	0.30		9			L
2018/02/19	Mon	03:04 AM	6.41		195			H
2018/02/19	Mon	09:12 AM	1.41		43			L
2018/02/19	Mon	02:57 PM	6.13		187			H
2018/02/19	Mon	09:21 PM	0.69		21			L
2018/02/20	Tue	03:37 AM	6.50		198			H
2018/02/20	Tue	09:59 AM	1.27		39			L
2018/02/20	Tue	03:46 PM	5.71		174			H
2018/02/20	Tue	09:57 PM	1.16		35			L
2018/02/21	Wed	04:14 AM	6.56		200			H
2018/02/21	Wed	10:52 AM	1.15		35			L
2018/02/21	Wed	04:44 PM	5.26		160			H
2018/02/21	Wed	10:39 PM	1.67		51			L
2018/02/22	Thu	04:58 AM	6.60		201			H
2018/02/22	Thu	11:55 AM	1.02		31			L
2018/02/22	Thu	05:56 PM	4.88		149			H
2018/02/22	Thu	11:31 PM	2.19		67			L
2018/02/23	Fri	05:51 AM	6.62		202			H
2018/02/23	Fri	01:06 PM	0.81		25			L
2018/02/23	Fri	07:21 PM	4.71		144			H
2018/02/24	Sat	12:38 AM	2.60		79			L
2018/02/24	Sat	06:54 AM	6.67		203			H
2018/02/24	Sat	02:19 PM	0.48		15			L
2018/02/24	Sat	08:47 PM	4.86		148			H
2018/02/25	Sun	01:59 AM	2.78		85			L
2018/02/25	Sun	08:04 AM	6.80		207			H
2018/02/25	Sun	03:27 PM	0.07		2			L
2018/02/25	Sun	09:59 PM	5.22		159			H
2018/02/26	Mon	03:17 AM	2.67		81			L
2018/02/26	Mon	09:12 AM	7.03		214			H
2018/02/26	Mon	04:27 PM	-0.35		-11			L
2018/02/26	Mon	10:56 PM	5.67		173			H
2018/02/27	Tue	04:24 AM	2.32		71			L
2018/02/27	Tue	10:15 AM	7.28		222			H
2018/02/27	Tue	05:19 PM	-0.69		-21			L
2018/02/27	Tue	11:44 PM	6.11		186			H
2018/02/28	Wed	05:22 AM	1.86		57			L
2018/02/28	Wed	11:12 AM	7.48		228			H
2018/02/28	Wed	06:07 PM	-0.86		-26			L
2018/03/01	Thu	12:26 AM	6.48		198			H
2018/03/01	Thu	06:14 AM	1.39		42			L
2018/03/01	Thu	12:04 PM	7.54		230			H
2018/03/01	Thu	06:51 PM	-0.84		-26			L
2018/03/02	Fri	01:06 AM	6.77		206			H
2018/03/02	Fri	07:03 AM	1.00		30			L
2018/03/02	Fri	12:54 PM	7.42		226			H
2018/03/02	Fri	07:32 PM	-0.62		-19			L
2018/03/03	Sat	01:45 AM	6.94		212			H
2018/03/03	Sat	07:50 AM	0.72		22			L
2018/03/03	Sat	01:42 PM	7.13		217			H
2018/03/03	Sat	08:12 PM	-0.23		-7			L
2018/03/04	Sun	02:22 AM	6.99		213			H
2018/03/04	Sun	08:36 AM	0.59		18			L
2018/03/04	Sun	02:30 PM	6.70		204			H
2018/03/04	Sun	08:51 PM	0.29		9			L
2018/03/05	Mon	02:59 AM	6.92		211			H
2018/03/05	Mon	09:23 AM	0.59		18			L
2018/03/05	Mon	03:18 PM	6.18		188			H
2018/03/05	Mon	09:29 PM	0.90		27			L
2018/03/06	Tue	03:37 AM	6.75		206			H
2018/03/06	Tue	10:11 AM	0.70		21			L
2018/03/06	Tue	04:09 PM	5.62		171			H
2018/03/06	Tue	10:09 PM	1.53		47			L
2018/03/07	Wed	04:16 AM	6.49		198			H
2018/03/07	Wed	11:03 AM	0.88		27			L
2018/03/07	Wed	05:06 PM	5.11		156			H
2018/03/07	Wed	10:52 PM	2.13		65			L
2018/03/08	Thu	04:59 AM	6.21		189			H
2018/03/08	Thu	12:01 PM	1.06		32			L
2018/03/08	Thu	06:13 PM	4.73		144			H
2018/03/08	Thu	11:44 PM	2.63		80			L
2018/03/09	Fri	05:50 AM	5.93		181			H
2018/03/09	Fri	01:06 PM	1.17		36			L
2018/03/09	Fri	07:32 PM	4.55		139			H
2018/03/10	Sat	12:50 AM	2.97		91			L
2018/03/10	Sat	06:49 AM	5.74		175			H
2018/03/10	Sat	02:15 PM	1.14		35			L
2018/03/10	Sat	08:52 PM	4.62		141			H
2018/03/11	Sun	03:07 AM	3.08		94			L
2018/03/11	Sun	08:55 AM	5.69		173			H
2018/03/11	Sun	04:18 PM	0.98		30			L
2018/03/11	Sun	10:56 PM	4.84		148			H
2018/03/12	Mon	04:17 AM	2.94		90			L
2018/03/12	Mon	09:58 AM	5.79		176			H
2018/03/12	Mon	05:11 PM	0.75		23			L
2018/03/12	Mon	11:42 PM	5.12		156			H
2018/03/13	Tue	05:13 AM	2.66		81			L
2018/03/13	Tue	10:53 AM	5.98		182			H
2018/03/13	Tue	05:55 PM	0.51		16			L
2018/03/14	Wed	12:18 AM	5.41		165			H
2018/03/14	Wed	05:59 AM	2.29		70			L
2018/03/14	Wed	11:41 AM	6.21		189			H
2018/03/14	Wed	06:33 PM	0.30		9			L
2018/03/15	Thu	12:50 AM	5.69		173			H
2018/03/15	Thu	06:39 AM	1.90		58			L
2018/03/15	Thu	12:24 PM	6.40		195			H
2018/03/15	Thu	07:08 PM	0.17		5			L
2018/03/16	Fri	01:21 AM	5.97		182			H
2018/03/16	Fri	07:17 AM	1.51		46			L
2018/03/16	Fri	01:04 PM	6.53		199			H
2018/03/16	Fri	07:41 PM	0.13		4			L
2018/03/17	Sat	01:50 AM	6.23		190			H
2018/03/17	Sat	07:54 AM	1.14		35			L
2018/03/17	Sat	01:44 PM	6.57		200			H
2018/03/17	Sat	08:13 PM	0.22		7			L
2018/03/18	Sun	02:20 AM	6.45		197			H
2018/03/18	Sun	08:32 AM	0.80		24			L
2018/03/18	Sun	02:25 PM	6.50		198			H
2018/03/18	Sun	08:46 PM	0.42		13			L
2018/03/19	Mon	02:50 AM	6.64		202			H
2018/03/19	Mon	09:11 AM	0.52		16			L
2018/03/19	Mon	03:07 PM	6.32		193			H
2018/03/19	Mon	09:19 PM	0.73		22			L
2018/03/20	Tue	03:22 AM	6.76		206			H
2018/03/20	Tue	09:53 AM	0.32		10			L
2018/03/20	Tue	03:53 PM	6.04		184			H
2018/03/20	Tue	09:54 PM	1.13		34			L
2018/03/21	Wed	03:56 AM	6.81		208			H
2018/03/21	Wed	10:39 AM	0.22		7			L
2018/03/21	Wed	04:44 PM	5.68		173			H
2018/03/21	Wed	10:33 PM	1.59		48			L
2018/03/22	Thu	04:36 AM	6.78		207			H
2018/03/22	Thu	11:31 AM	0.21		6			L
2018/03/22	Thu	05:43 PM	5.30		162			H
2018/03/22	Thu	11:19 PM	2.06		63			L
2018/03/23	Fri	05:22 AM	6.65		203			H
2018/03/23	Fri	12:31 PM	0.27		8			L
2018/03/23	Fri	06:54 PM	5.00		152			H
2018/03/24	Sat	12:17 AM	2.49		76			L
2018/03/24	Sat	06:20 AM	6.46		197			H
2018/03/24	Sat	01:40 PM	0.30		9			L
2018/03/24	Sat	08:15 PM	4.91		150			H
2018/03/25	Sun	01:33 AM	2.75		84			L
2018/03/25	Sun	07:31 AM	6.29		192			H
2018/03/25	Sun	02:54 PM	0.23		7			L
2018/03/25	Sun	09:34 PM	5.09		155			H
2018/03/26	Mon	02:59 AM	2.71		83			L
2018/03/26	Mon	08:49 AM	6.26		191			H
2018/03/26	Mon	04:04 PM	0.07		2			L
2018/03/26	Mon	10:39 PM	5.44		166			H
2018/03/27	Tue	04:17 AM	2.35		72			L
2018/03/27	Tue	10:03 AM	6.37		194			H
2018/03/27	Tue	05:04 PM	-0.12		-4			L
2018/03/27	Tue	11:31 PM	5.87		179			H
2018/03/28	Wed	05:22 AM	1.81		55			L
2018/03/28	Wed	11:08 AM	6.56		200			H
2018/03/28	Wed	05:56 PM	-0.24		-7			L
2018/03/29	Thu	12:16 AM	6.27		191			H
2018/03/29	Thu	06:16 AM	1.22		37			L
2018/03/29	Thu	12:06 PM	6.72		205			H
2018/03/29	Thu	06:43 PM	-0.24		-7			L
2018/03/30	Fri	12:56 AM	6.62		202			H
2018/03/30	Fri	07:05 AM	0.68		21			L
2018/03/30	Fri	12:58 PM	6.77		206			H
2018/03/30	Fri	07:25 PM	-0.10		-3			L
2018/03/31	Sat	01:33 AM	6.86		209			H
2018/03/31	Sat	07:50 AM	0.25		8			L
2018/03/31	Sat	01:47 PM	6.70		204			H
2018/03/31	Sat	08:05 PM	0.18		5			L
2018/04/01	Sun	02:08 AM	6.98		213			H
2018/04/01	Sun	08:33 AM	-0.02		-1			L
2018/04/01	Sun	02:33 PM	6.51		198			H
2018/04/01	Sun	08:43 PM	0.57		17			L
2018/04/02	Mon	02:43 AM	6.97		212			H
2018/04/02	Mon	09:15 AM	-0.13		-4			L
2018/04/02	Mon	03:19 PM	6.22		190			H
2018/04/02	Mon	09:20 PM	1.04		32			L
2018/04/03	Tue	03:17 AM	6.84		208			H
2018/04/03	Tue	09:56 AM	-0.08		-2			L
2018/04/03	Tue	04:04 PM	5.86		179			H
2018/04/03	Tue	09:57 PM	1.53		47			L
2018/04/04	Wed	03:51 AM	6.61		201			H
2018/04/04	Wed	10:39 AM	0.09		3			L
2018/04/04	Wed	04:52 PM	5.48		167			H
2018/04/04	Wed	10:35 PM	2.02		62			L
2018/04/05	Thu	04:27 AM	6.30		192			H
2018/04/05	Thu	11:24 AM	0.34		10			L
2018/04/05	Thu	05:44 PM	5.11		156			H
2018/04/05	Thu	11:18 PM	2.45		75			L
2018/04/06	Fri	05:07 AM	5.95		181			H
2018/04/06	Fri	12:15 PM	0.62		19			L
2018/04/06	Fri	06:44 PM	4.82		147			H
2018/04/07	Sat	12:09 AM	2.80		85			L
2018/04/07	Sat	05:55 AM	5.60		171			H
2018/04/07	Sat	01:13 PM	0.86		26			L
2018/04/07	Sat	07:53 PM	4.67		142			H
2018/04/08	Sun	01:17 AM	3.01		92			L
2018/04/08	Sun	06:56 AM	5.31		162			H
2018/04/08	Sun	02:18 PM	0.99		30			L
2018/04/08	Sun	09:04 PM	4.70		143			H
2018/04/09	Mon	02:36 AM	3.00		91			L
2018/04/09	Mon	08:07 AM	5.16		157			H
2018/04/09	Mon	03:22 PM	0.99		30			L
2018/04/09	Mon	10:04 PM	4.89		149			H
2018/04/10	Tue	03:48 AM	2.75		84			L
2018/04/10	Tue	09:17 AM	5.19		158			H
2018/04/10	Tue	04:19 PM	0.88		27			L
2018/04/10	Tue	10:51 PM	5.16		157			H
2018/04/11	Wed	04:46 AM	2.34		71			L
2018/04/11	Wed	10:19 AM	5.37		164			H
2018/04/11	Wed	05:07 PM	0.73		22			L
2018/04/11	Wed	11:29 PM	5.48		167			H
2018/04/12	Thu	05:33 AM	1.84		56			L
2018/04/12	Thu	11:13 AM	5.61		171			H
2018/04/12	Thu	05:49 PM	0.62		19			L
2018/04/13	Fri	12:02 AM	5.83		178			H
2018/04/13	Fri	06:14 AM	1.30		40			L
2018/04/13	Fri	12:01 PM	5.84		178			H
2018/04/13	Fri	06:27 PM	0.56		17			L
2018/04/14	Sat	12:34 AM	6.18		188			H
2018/04/14	Sat	06:53 AM	0.76		23			L
2018/04/14	Sat	12:46 PM	6.04		184			H
2018/04/14	Sat	07:02 PM	0.60		18			L
2018/04/15	Sun	01:05 AM	6.51		198			H
2018/04/15	Sun	07:32 AM	0.24		7			L
2018/04/15	Sun	01:30 PM	6.16		188			H
2018/04/15	Sun	07:38 PM	0.73		22			L
2018/04/16	Mon	01:37 AM	6.79		207			H
2018/04/16	Mon	08:11 AM	-0.20		-6			L
2018/04/16	Mon	02:15 PM	6.18		188			H
2018/04/16	Mon	08:14 PM	0.95		29			L
2018/04/17	Tue	02:10 AM	7.00		213			H
2018/04/17	Tue	08:52 AM	-0.53		-16			L
2018/04/17	Tue	03:01 PM	6.10		186			H
2018/04/17	Tue	08:52 PM	1.25		38			L
2018/04/18	Wed	02:45 AM	7.10		216			H
2018/04/18	Wed	09:35 AM	-0.71		-22			L
2018/04/18	Wed	03:51 PM	5.92		180			H
2018/04/18	Wed	09:32 PM	1.60		49			L
2018/04/19	Thu	03:24 AM	7.07		215			H
2018/04/19	Thu	10:23 AM	-0.74		-23			L
2018/04/19	Thu	04:44 PM	5.67		173			H
2018/04/19	Thu	10:17 PM	1.97		60			L
2018/04/20	Fri	04:08 AM	6.89		210			H
