Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-02-01,Thu,2:16 AM,7.44,227,H
2018-02-01,Thu,7:44 AM,1.88,57,L
2018-02-01,Thu,1:43 PM,8.87,270,H
2018-02-01,Thu,8:25 PM,-1.34,-41,L
2018-02-02,Fri,2:59 AM,7.62,232,H
2018-02-02,Fri,8:35 AM,1.65,50,L
2018-02-02,Fri,2:33 PM,8.48,258,H
2018-02-02,Fri,9:08 PM,-0.95,-29,L
2018-02-03,Sat,3:41 AM,7.71,235,H
2018-02-03,Sat,9:26 AM,1.52,46,L
2018-02-03,Sat,3:23 PM,7.9,241,H
2018-02-03,Sat,9:51 PM,-0.37,-11,L
2018-02-04,Sun,4:24 AM,7.68,234,H
2018-02-04,Sun,10:19 AM,1.48,45,L
2018-02-04,Sun,4:15 PM,7.18,219,H
2018-02-04,Sun,10:33 PM,0.35,11,L
2018-02-05,Mon,5:06 AM,7.58,231,H
2018-02-05,Mon,11:16 AM,1.51,46,L
2018-02-05,Mon,5:11 PM,6.43,196,H
2018-02-05,Mon,11:16 PM,1.12,34,L
2018-02-06,Tue,5:51 AM,7.41,226,H
2018-02-06,Tue,12:16 PM,1.55,47,L
2018-02-06,Tue,6:14 PM,5.74,175,H
2018-02-07,Wed,12:03 AM,1.88,57,L
2018-02-07,Wed,6:38 AM,7.23,220,H
2018-02-07,Wed,1:22 PM,1.54,47,L
2018-02-07,Wed,7:28 PM,5.25,160,H
2018-02-08,Thu,12:56 AM,2.54,77,L
2018-02-08,Thu,7:29 AM,7.07,215,H
2018-02-08,Thu,2:31 PM,1.41,43,L
2018-02-08,Thu,8:51 PM,5.07,155,H
2018-02-09,Fri,1:59 AM,3.03,92,L
2018-02-09,Fri,8:25 AM,6.99,213,H
2018-02-09,Fri,3:36 PM,1.18,36,L
2018-02-09,Fri,10:12 PM,5.18,158,H
2018-02-10,Sat,3:08 AM,3.28,100,L
2018-02-10,Sat,9:21 AM,7.01,214,H
2018-02-10,Sat,4:32 PM,0.89,27,L
2018-02-10,Sat,11:15 PM,5.46,166,H
2018-02-11,Sun,4:11 AM,3.3,101,L
2018-02-11,Sun,10:13 AM,7.12,217,H
2018-02-11,Sun,5:20 PM,0.58,18,L
2018-02-12,Mon,12:02 AM,5.76,176,H
2018-02-12,Mon,5:05 AM,3.16,96,L
2018-02-12,Mon,11:01 AM,7.29,222,H
2018-02-12,Mon,6:01 PM,0.29,9,L
2018-02-13,Tue,12:39 AM,6.05,184,H
2018-02-13,Tue,5:50 AM,2.93,89,L
2018-02-13,Tue,11:45 AM,7.47,228,H
2018-02-13,Tue,6:37 PM,0.05,2,L
2018-02-14,Wed,1:12 AM,6.3,192,H
2018-02-14,Wed,6:30 AM,2.67,81,L
2018-02-14,Wed,12:25 PM,7.6,232,H
2018-02-14,Wed,7:11 PM,-0.12,-4,L
2018-02-15,Thu,1:43 AM,6.53,199,H
2018-02-15,Thu,7:08 AM,2.41,73,L
2018-02-15,Thu,1:03 PM,7.67,234,H
2018-02-15,Thu,7:44 PM,-0.19,-6,L
2018-02-16,Fri,2:14 AM,6.72,205,H
2018-02-16,Fri,7:45 AM,2.17,66,L
2018-02-16,Fri,1:40 PM,7.63,233,H
2018-02-16,Fri,8:15 PM,-0.14,-4,L
2018-02-17,Sat,2:44 AM,6.89,210,H
2018-02-17,Sat,8:22 AM,1.94,59,L
