Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/02/01	Thu	02:16 AM	7.44		227			H
2018/02/01	Thu	07:44 AM	1.88		57			L
2018/02/01	Thu	01:43 PM	8.87		270			H
2018/02/01	Thu	08:25 PM	-1.34		-41			L
2018/02/02	Fri	02:59 AM	7.62		232			H
2018/02/02	Fri	08:35 AM	1.65		50			L
2018/02/02	Fri	02:33 PM	8.48		258			H
2018/02/02	Fri	09:08 PM	-0.95		-29			L
2018/02/03	Sat	03:41 AM	7.71		235			H
2018/02/03	Sat	09:26 AM	1.52		46			L
2018/02/03	Sat	03:23 PM	7.90		241			H
2018/02/03	Sat	09:51 PM	-0.37		-11			L
2018/02/04	Sun	04:24 AM	7.68		234			H
2018/02/04	Sun	10:19 AM	1.48		45			L
2018/02/04	Sun	04:15 PM	7.18		219			H
2018/02/04	Sun	10:33 PM	0.35		11			L
2018/02/05	Mon	05:06 AM	7.58		231			H
2018/02/05	Mon	11:16 AM	1.51		46			L
2018/02/05	Mon	05:11 PM	6.43		196			H
2018/02/05	Mon	11:16 PM	1.12		34			L
2018/02/06	Tue	05:51 AM	7.41		226			H
2018/02/06	Tue	12:16 PM	1.55		47			L
2018/02/06	Tue	06:14 PM	5.74		175			H
2018/02/07	Wed	12:03 AM	1.88		57			L
2018/02/07	Wed	06:38 AM	7.23		220			H
2018/02/07	Wed	01:22 PM	1.54		47			L
2018/02/07	Wed	07:28 PM	5.25		160			H
2018/02/08	Thu	12:56 AM	2.54		77			L
2018/02/08	Thu	07:29 AM	7.07		215			H
2018/02/08	Thu	02:31 PM	1.41		43			L
2018/02/08	Thu	08:51 PM	5.07		155			H
2018/02/09	Fri	01:59 AM	3.03		92			L
2018/02/09	Fri	08:25 AM	6.99		213			H
2018/02/09	Fri	03:36 PM	1.18		36			L
2018/02/09	Fri	10:12 PM	5.18		158			H
2018/02/10	Sat	03:08 AM	3.28		100			L
2018/02/10	Sat	09:21 AM	7.01		214			H
2018/02/10	Sat	04:32 PM	0.89		27			L
2018/02/10	Sat	11:15 PM	5.46		166			H
2018/02/11	Sun	04:11 AM	3.30		101			L
2018/02/11	Sun	10:13 AM	7.12		217			H
2018/02/11	Sun	05:20 PM	0.58		18			L
2018/02/12	Mon	12:02 AM	5.76		176			H
2018/02/12	Mon	05:05 AM	3.16		96			L
2018/02/12	Mon	11:01 AM	7.29		222			H
2018/02/12	Mon	06:01 PM	0.29		9			L
2018/02/13	Tue	12:39 AM	6.05		184			H
2018/02/13	Tue	05:50 AM	2.93		89			L
2018/02/13	Tue	11:45 AM	7.47		228			H
2018/02/13	Tue	06:37 PM	0.05		2			L
2018/02/14	Wed	01:12 AM	6.30		192			H
2018/02/14	Wed	06:30 AM	2.67		81			L
2018/02/14	Wed	12:25 PM	7.60		232			H
2018/02/14	Wed	07:11 PM	-0.12		-4			L
2018/02/15	Thu	01:43 AM	6.53		199			H
2018/02/15	Thu	07:08 AM	2.41		73			L
2018/02/15	Thu	01:03 PM	7.67		234			H
2018/02/15	Thu	07:44 PM	-0.19		-6			L
2018/02/16	Fri	02:14 AM	6.72		205			H
2018/02/16	Fri	07:45 AM	2.17		66			L
2018/02/16	Fri	01:40 PM	7.63		233			H
2018/02/16	Fri	08:15 PM	-0.14		-4			L
2018/02/17	Sat	02:44 AM	6.89		210			H
2018/02/17	Sat	08:22 AM	1.94		59			L
2018/02/17	Sat	02:17 PM	7.48		228			H
2018/02/17	Sat	08:46 PM	0.03		1			L
2018/02/18	Sun	03:14 AM	7.03		214			H
2018/02/18	Sun	09:01 AM	1.73		53			L
2018/02/18	Sun	02:56 PM	7.22		220			H
2018/02/18	Sun	09:18 PM	0.33		10			L
2018/02/19	Mon	03:46 AM	7.15		218			H
2018/02/19	Mon	09:42 AM	1.55		47			L
2018/02/19	Mon	03:39 PM	6.84		208			H
2018/02/19	Mon	09:51 PM	0.76		23			L
2018/02/20	Tue	04:19 AM	7.25		221			H
2018/02/20	Tue	10:29 AM	1.40		43			L
2018/02/20	Tue	04:28 PM	6.38		194			H
2018/02/20	Tue	10:27 PM	1.27		39			L
2018/02/21	Wed	04:56 AM	7.33		223			H
2018/02/21	Wed	11:22 AM	1.27		39			L
2018/02/21	Wed	05:26 PM	5.88		179			H
2018/02/21	Wed	11:09 PM	1.84		56			L
2018/02/22	Thu	05:40 AM	7.37		225			H
2018/02/22	Thu	12:25 PM	1.12		34			L
2018/02/22	Thu	06:38 PM	5.45		166			H
2018/02/23	Fri	12:01 AM	2.41		73			L
2018/02/23	Fri	06:33 AM	7.39		225			H
2018/02/23	Fri	01:36 PM	0.89		27			L
2018/02/23	Fri	08:03 PM	5.26		160			H
2018/02/24	Sat	01:08 AM	2.86		87			L
2018/02/24	Sat	07:36 AM	7.44		227			H
2018/02/24	Sat	02:49 PM	0.53		16			L
2018/02/24	Sat	09:29 PM	5.42		165			H
2018/02/25	Sun	02:29 AM	3.06		93			L
2018/02/25	Sun	08:46 AM	7.59		231			H
2018/02/25	Sun	03:57 PM	0.07		2			L
2018/02/25	Sun	10:41 PM	5.83		178			H
2018/02/26	Mon	03:47 AM	2.93		89			L
2018/02/26	Mon	09:54 AM	7.84		239			H
2018/02/26	Mon	04:57 PM	-0.39		-12			L
2018/02/26	Mon	11:38 PM	6.33		193			H
2018/02/27	Tue	04:54 AM	2.55		78			L
2018/02/27	Tue	10:57 AM	8.13		248			H
2018/02/27	Tue	05:49 PM	-0.75		-23			L
2018/02/28	Wed	12:26 AM	6.82		208			H
2018/02/28	Wed	05:52 AM	2.04		62			L
2018/02/28	Wed	11:54 AM	8.35		255			H
2018/02/28	Wed	06:37 PM	-0.94		-29			L
2018/03/01	Thu	01:08 AM	7.24		221			H
2018/03/01	Thu	06:44 AM	1.53		47			L
2018/03/01	Thu	12:46 PM	8.41		256			H
2018/03/01	Thu	07:21 PM	-0.92		-28			L
2018/03/02	Fri	01:48 AM	7.56		230			H
2018/03/02	Fri	07:33 AM	1.10		34			L
2018/03/02	Fri	01:36 PM	8.29		253			H
2018/03/02	Fri	08:02 PM	-0.69		-21			L
2018/03/03	Sat	02:27 AM	7.75		236			H
2018/03/03	Sat	08:20 AM	0.80		24			L
2018/03/03	Sat	02:24 PM	7.96		243			H
2018/03/03	Sat	08:42 PM	-0.25		-8			L
2018/03/04	Sun	03:04 AM	7.80		238			H
2018/03/04	Sun	09:06 AM	0.65		20			L
2018/03/04	Sun	03:12 PM	7.48		228			H
2018/03/04	Sun	09:21 PM	0.32		10			L
2018/03/05	Mon	03:41 AM	7.72		235			H
2018/03/05	Mon	09:53 AM	0.65		20			L
2018/03/05	Mon	04:00 PM	6.89		210			H
2018/03/05	Mon	09:59 PM	0.99		30			L
2018/03/06	Tue	04:19 AM	7.53		230			H
2018/03/06	Tue	10:41 AM	0.77		23			L
2018/03/06	Tue	04:51 PM	6.28		191			H
2018/03/06	Tue	10:39 PM	1.68		51			L
2018/03/07	Wed	04:58 AM	7.25		221			H
2018/03/07	Wed	11:33 AM	0.96		29			L
2018/03/07	Wed	05:48 PM	5.71		174			H
2018/03/07	Wed	11:22 PM	2.34		71			L
2018/03/08	Thu	05:41 AM	6.93		211			H
2018/03/08	Thu	12:31 PM	1.16		35			L
2018/03/08	Thu	06:55 PM	5.28		161			H
2018/03/09	Fri	12:14 AM	2.89		88			L
2018/03/09	Fri	06:32 AM	6.62		202			H
2018/03/09	Fri	01:36 PM	1.28		39			L
2018/03/09	Fri	08:14 PM	5.08		155			H
2018/03/10	Sat	01:20 AM	3.27		100			L
2018/03/10	Sat	07:31 AM	6.41		195			H
2018/03/10	Sat	02:45 PM	1.26		38			L
2018/03/10	Sat	09:34 PM	5.15		157			H
2018/03/11	Sun	03:37 AM	3.38		103			L
2018/03/11	Sun	09:37 AM	6.35		194			H
